heure,pseudo,contexte,composant,evenement
2024-07-24 09:48:08,436,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #1,Système,Cours consulté
2024-07-24 09:48:14,436,Fichier: Contrat,Fichier,Module de cours consulté
2024-08-19 12:55:34,841,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #2,Système,Cours consulté
2024-08-19 17:06:02,898,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #1,Système,Cours consulté
2024-08-19 17:06:04,898,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #1,Système,Liste d’utilisateurs consultée
2024-09-10 16:55:09,829,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #1,Système,Cours consulté
2024-09-10 16:55:19,829,Fichier: Fiche de cours sur les notions de base pour écrire un algorithme,Fichier,Module de cours consulté
2024-09-10 16:56:25,829,Fichier: Exemples sur les tableaux à plusieurs dimensions,Fichier,Module de cours consulté
2024-09-10 16:56:28,829,Fichier: Fiche sur les tableaux à plusieurs dimensions,Fichier,Module de cours consulté
2024-09-10 16:57:03,829,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #2,Système,Cours consulté
2024-09-10 16:59:28,829,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #1,Système,Cours consulté
2024-09-10 17:16:43,662,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #2,Système,Cours consulté
2024-09-10 17:16:52,662,Fichier: Structure d'un programme,Fichier,Module de cours consulté
2024-09-10 17:16:56,662,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #2,Système,Cours consulté
2024-09-10 17:17:45,662,Fichier: Présentation du cours,Fichier,Module de cours consulté
2024-09-10 17:17:53,662,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #2,Système,Cours consulté
2024-09-10 17:18:31,662,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #2,Système,Cours consulté
2024-09-10 17:18:36,662,Test: Quiz Leçon 1,Test,Module de cours consulté
2024-09-10 17:18:42,662,Fichier: Fichier C : maximum de N entiers,Fichier,Module de cours consulté
2024-09-10 17:18:52,662,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #2,Système,Cours consulté
2024-09-10 18:15:18,829,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #1,Système,Cours consulté
2024-09-10 18:16:21,829,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #2,Système,Cours consulté
2024-09-10 18:17:13,829,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #1,Système,Cours consulté
2024-09-10 18:27:03,829,Fichier: Fiche de cours sur les notions de base pour écrire un algorithme,Fichier,Module de cours consulté
2024-09-10 18:29:03,829,Fichier: Fiche de cours sur les conditionnelles,Fichier,Module de cours consulté
2024-09-10 18:49:02,829,Fichier: Fiche de cours sur les notions de base pour écrire un algorithme,Fichier,Module de cours consulté
2024-09-10 18:57:12,406,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #1,Système,Cours consulté
2024-09-10 18:57:40,406,Fichier: ModeEmploiAlgo,Fichier,Module de cours consulté
2024-09-10 18:58:07,406,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #1,Système,Cours consulté
2024-09-10 19:06:51,406,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #1,Système,Cours consulté
2024-09-10 19:07:01,406,Fichier: Conseils,Fichier,Module de cours consulté
